Qtde;Unidade;Descrição;;;;;;;;
1;unid.;Carregador Portátil PowerBank 5V 10.000 mAh;;;;;;;;
1;unid.;PLACA DE DESENVOLVIMENTO ESP32 S3 - ESP32 S3 DEV KIT;;;;;;;;
6;unid.;BATERIA 18650  3.7V 3800mAh ;;;;;;;;
2;unid.;SUPORTE 3 BATERIA 18650;;;;;;;;
1;unid.;MÓDULO RELE 5V 2 CANAIS COM OPTOACOPLADOR;;;;;;;;
2;unid.;BARRA PINOS FEMEA 1X40 2.54 MM 180 GRAUS;;;;;;;;
1;unid.;CONVERSOR ANALOGICO DIGITAL  I2C - 10 bits - ADS1015;;;;;;;;
1;unid.;MÓDULO MICRO SD SPI 5 V;;;;;;;;
1;unid.;BMS 6S 15A 24V;;;;;;;;
1;unid.;FONTE 24 V 2 A  PLUG P4;;;;;;;;
1;unid.;1 CONECTOR P4;;;;;;;;
1;unid.;1 CABO USB-C;;;;;;;;
1;unid.;SENSOR TEMPERATURA PT100 3 FIOS, CABO 2 METROS, SONDA D= 5 MM X L = 100 MM;;;;;;;;
1;unid.;CAIXA ABS 200X 100X100 MM;;;;;;;;
1;unid.;CHAVE GANGORRA KCD1-202 6 TERMINAIS;;;;;;;;
1;unid.;CONECTOR MIKE 6 VIAS;;;;;;;;
1;unid.;VOLTIMETRO INFICADOR CARGA BATERIA 18650 6S;;;;;;;;
1.5;m;Cabo Flexível 22 AWG (0,30mm) Azul ;;;;;;;;
1.5;m;Cabo Flexível 22 AWG (0,30mm) Vermelho ;;;;;;;;
1.5;m;Cabo Flexível 22 AWG (0,30mm) Preto;;;;;;;;
1.5;m;Cabo Flexível 22 AWG (0,30mm) Verde ;;;;;;;;
1.5;m;Cabo Flexível 22 AWG (0,30mm) Amarelo ;;;;;;;;
3;unid.;Resistor 1.5 kohm 1/4 W;;;;;;;;
7;unid.;Resistor 100 kohm 1/4 W;;;;;;;;
1;unid.;Resistor 10 kohm 1/4 W;;;;;;;;
2;unid.;Resistor 120 ohm 1/4 W;;;;;;;;
1;unid.;Resistor 180 ohm 1/4 W;;;;;;;;
4;unid.;Resistor 1 kohm 1/4 W;;;;;;;;
12;unid.;Resistor 22 kohm 1/4 W;;;;;;;;
1;unid.;Resistor 250 ohm 1/4 W;;;;;;;;
1;unid.;Resistor 33 kohm 1/4 W;;;;;;;;
2;unid.;Resistor 4.7 kohm 1/4 W;;;;;;;;
1;unid.;Resistor 5.6 kohm 1/4 W;;;;;;;;
1;unid.;Resistor 510 ohm 1/4 W;;;;;;;;
2;unid.;Resistor 6.8 kohm 1/4 W;;;;;;;;
3;unid.;Resistor 9.1 kohm 1/4 W;;;;;;;;
2;unid.;Capacitor Cerâmico 10 nF;;;;;;;;
1;unid.;Capacitor Cerâmico 4.7 nF;;;;;;;;
5;unid.;Capacitor Eletrolítico 1 uF 16 V;;;;;;;;
1;unid.;Amp Op LM741;;;;;;;;
1;unid.;Amp Op LM342N;;;;;;;;
4;unid.;Amp Op MCP6002;;;;;;;;
3;unid.;Amp Op TL072;;;;;;;;
1;unid.;Diodo 1N4001;;;;;;;;
4;unid.;Conector KRE 2 Vias;;;;;;;;
1;unid.;Conector KRE 3 Vias;;;;;;;;
1;unid.;Trimport 10 k;;;;;;;;
1;unid.;Conversor Step-Down Mini ajustável 5560;;;;;;;;
6;unid.;Soquete DIP 8 pinos;;;;;;;;
1;unid.;Soquete DIP 14 pinos;;;;;;;;
